id,name,title,target_area_search,subsidy_max_limit,acceptance_start_datetime,acceptance_end_datetime,target_number_of_employees
a0WJ200000CDXR6MAP,S-00008074,深谷市起業家支援事業補助金,埼玉県,200000,2025-04-01T10:34:00.000Z,2026-03-31T10:34:00.000Z,300名以下
a0WJ200000CDXR1MAP,S-00008073,深谷市中小企業者経営革新計画策定奨励金,埼玉県,50000,2025-04-01T10:30:00.000Z,2026-03-31T10:30:00.000Z,300名以下
a0WJ200000CDXQmMAP,S-00008069,【東海市】令和7年度小規模企業等振興資金等信用保証料補助金,愛知県,120000,2025-03-31T15:00:00.000Z,2026-03-31T14:59:00.000Z,300名以下
a0WJ200000CDXORMA5,S-00008043,地上基幹放送ネットワーク整備等事業（令和７年度補正予算及び令和８年度当初予算）,全国,0,2026-01-30T05:00:00.000Z,2027-03-31T08:00:00.000Z,従業員数の制約なし
a0WJ200000CDXO7MAP,S-00008039,令和８年度中小企業等エネルギー利用最適化推進事業費（エネルギー利用最適化診断等事業）,全国,590254000,2026-02-06T03:00:00.000Z,2026-02-27T03:00:00.000Z,従業員数の制約なし
a0WJ200000CDXNxMAP,S-00008037,令和８年度省エネルギー設備投資利子補給金助成事業費,全国,1310000000,2026-02-06T03:00:00.000Z,2026-02-27T03:00:00.000Z,従業員数の制約なし
a0WJ200000CDXNWMA5,S-00008036,【農林水産省】令和8年度アジア地域の食料安全保障の確立に向けた農業経営研修及び研修効果実態把握事業,全国,27105000,2026-02-03T00:00:00.000Z,2026-02-20T03:00:00.000Z,従業員数の制約なし
a0WJ200000CDXM2MAP,S-00008020,令和８年度産油国等連携強化促進事業費補助金（中央アジア・コーカサス地域等産油・産ガス国投資等促進事業）,全国,40000000,2026-02-06T03:00:00.000Z,2026-03-02T03:00:00.000Z,従業員数の制約なし
a0WJ200000CDXLxMAP,S-00008019,令和８年度ロシア・中央アジア地域等情報収集・提供等事業,全国,242000000,2026-02-06T03:00:00.000Z,2026-03-02T03:00:00.000Z,従業員数の制約なし
a0WJ200000CDXL7MAP,S-00008013,「グリーンイノベーション基金事業／洋上風力発電の低コスト化／洋上風力運転保守高度化事業」の公募,全国,0,2026-02-13T02:00:00.000Z,2026-03-30T03:00:00.000Z,従業員数の制約なし
a0WJ200000CDXKFMA5,S-00008000,令和８年度「地域の中堅・中核企業支援事業補助金（中堅・中核企業の経営力強化支援事業）」,全国,266000000,2026-02-05T01:00:00.000Z,2026-02-26T08:00:00.000Z,従業員数の制約なし
a0WJ200000CDXK4MAP,S-00007993,いわき市診療所開設・承継支援補助金,全国,30000000,2025-03-31T15:00:00.000Z,2030-03-31T14:45:00.000Z,従業員数の制約なし
a0WJ200000CDXK5MAP,S-00007994,長野市温室効果ガス排出量見える化・削減支援事業補助金,長野県,0,2025-09-30T15:00:00.000Z,2026-03-31T14:59:00.000Z,従業員数の制約なし
a0WJ200000CDXJpMAP,S-00007989,令和８年度「災害時に備えた社会的重要インフラへの自衛的な燃料備蓄の推進事業費補助金（災害時に備えた社会的重要インフラへの自衛的な燃料備蓄の推進事業のうち自治体における防災の拠点となる施設向け自家用発電,全国,2550000000,2026-02-06T03:00:00.000Z,2026-03-06T06:00:00.000Z,従業員数の制約なし
a0WJ200000CDXJfMAP,S-00007987,「ディープテック・スタートアップ支援事業等の更なる効果的な運用に向けた調査・分析」の公募,全国,0,2026-02-12T01:00:00.000Z,2026-03-13T03:00:00.000Z,従業員数の制約なし
a0WJ200000CDXJGMA5,S-00007985,令和８年度運輸部門におけるエネルギー使用合理化・非化石エネルギー転換推進事業費補助金（新技術活用によるサプライチェーン全体輸送効率化・非化石転換推進事業及びトラック輸送における更なる省エネ化推進事業）,全国,4350000000,2026-02-02T12:00:00.000Z,2026-02-24T03:00:00.000Z,従業員数の制約なし
a0WJ200000CDXJBMA5,S-00007984,令和７年度　石油製品販売業環境保全対策事業費補助金（ＳＳネットワーク維持・強化支援事業のうち経営再建支援事業に係るもの）（執行団体公募）,全国,4000000000,2026-02-04T03:00:00.000Z,2026-02-24T03:00:00.000Z,従業員数の制約なし
a0WJ200000CDXJ6MAP,S-00007983,令和7年度デジタルライフライン整備加速事業,全国,669017000,2026-02-04T03:00:00.000Z,2026-03-06T03:00:00.000Z,従業員数の制約なし
a0WJ200000CDXIwMAP,S-00007981,令和７年度補正グローバルサウス未来志向型共創等事業費補助金（ウクライナ復興支援に向けた欧州企業連携・中東欧諸国等連携強化）,全国,15000000000,2026-01-30T03:00:00.000Z,2026-02-20T03:00:00.000Z,901名以上
a0WJ200000CDXIrMAP,S-00007980,令和7年度補正 重要市場の商流維持・拡大緊急対策事業,全国 / 海外,10000000,2026-02-09T01:00:00.000Z,2026-02-27T08:00:00.000Z,従業員数の制約なし
a0WJ200000CDXImMAP,S-00007979,令和８年度潤滑油の品質確保事業等への支援事業費補助金,全国,70000000,2026-02-05T00:00:00.000Z,2026-02-24T03:00:00.000Z,従業員数の制約なし
a0WJ200000CDXIIMA5,S-00007973,令和７年度　石油製品販売業環境保全対策事業費補助金（ＳＳネットワーク維持・強化支援事業のうち設備導入等支援事業に係るもの）（執行団体公募）,全国,11973004000,2026-02-04T03:00:00.000Z,2026-02-24T03:00:00.000Z,従業員数の制約なし
